g_*mom*B*Jz/(h/(2*pi)),1,True,1,True
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),2,None,2,None
n_rho*mom*tanh(mom*B/(kb*T)),1,True,1,True
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,1,True,1,True
mom*(1+chi)*B,5,None,3,None
Y*A*x/d,1,True,1,True
Y/(2*(1+sigma)),3,None,1,True
1/(exp((h/(2*pi))*omega/(kb*T))-1),6,None,1,True
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),6,None,1,True
2*mom*B/(h/(2*pi)),2,None,1,True
sin(E_n*t/(h/(2*pi)))**2,2,None,1,True
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,1,True,1,True
mom*sqrt(Bx**2+By**2+Bz**2),12,None,4,None
n*(h/(2*pi)),2,None,1,True
2*E_n*d**2*k/(h/(2*pi)),1,True,1,True
I_0*(exp(q*Volt/(kb*T))-1),1,True,1,True
2*U*(1-cos(k*d)),2,None,1,True
(h/(2*pi))**2/(2*E_n*d**2),2,None,1,True
2*pi*alpha/(n*d),10,None,1,True
beta*(1+alpha*cos(theta)),64,None,10,None
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),0,None,0,None
-rho_c_0*q*A_vec/m,1,True,1,True
